unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1608336000,2020-12-19 00:00:00,BTC/USD,23142.05,23187.74,23037.38,23060.75,102.14527061,2355546.5492195575
1608249600,2020-12-18 00:00:00,BTC/USD,22829.89,23284.68,22360.93,23136.14,11360.33890442,262834391.3401077
1608163200,2020-12-17 00:00:00,BTC/USD,21358.96,23777.00,21244.04,22814.24,22626.69253048,516210793.79657805
1608076800,2020-12-16 00:00:00,BTC/USD,19434.55,21576.76,19277.66,21365.70,14974.62184371,319943277.92615473
1607990400,2020-12-15 00:00:00,BTC/USD,19274.33,19567.84,19050.00,19434.87,6750.77219425,131200379.9948635
1607904000,2020-12-14 00:00:00,BTC/USD,19151.82,19346.90,18979.21,19274.33,3618.37690457,69741790.5230607
1607817600,2020-12-13 00:00:00,BTC/USD,18806.83,19416.64,18628.10,19162.36,4251.96121032,81477611.41818756
1607731200,2020-12-12 00:00:00,BTC/USD,18031.23,18956.46,18022.55,18815.63,3515.32704607,66143093.027846076
1607644800,2020-12-11 00:00:00,BTC/USD,18250.30,18290.43,17569.58,18040.02,6687.92267389,120650258.79542908
1607558400,2020-12-10 00:00:00,BTC/USD,18546.38,18562.13,17908.00,18250.30,6784.45549144,123818348.05542742
1607472000,2020-12-09 00:00:00,BTC/USD,18311.31,18654.92,17640.33,18556.64,8906.94524733,165282976.45441377
1607385600,2020-12-08 00:00:00,BTC/USD,19183.13,19300.55,18163.52,18316.43,5979.96623279,109531632.90526174
1607299200,2020-12-07 00:00:00,BTC/USD,19385.13,19431.00,18905.00,19173.50,4323.27044132,82892225.80664901
1607212800,2020-12-06 00:00:00,BTC/USD,19162.17,19418.39,18870.62,19380.58,2503.45426290,48518395.61847448
1607126400,2020-12-05 00:00:00,BTC/USD,18650.08,19185.17,18500.00,19162.16,2376.72322359,45543150.686147355
1607040000,2020-12-04 00:00:00,BTC/USD,19439.94,19552.50,18573.89,18673.76,6261.69674357,116929422.1822077
1606953600,2020-12-03 00:00:00,BTC/USD,19220.09,19621.00,18881.62,19448.40,6196.52507218,120512498.21378553
1606867200,2020-12-02 00:00:00,BTC/USD,18773.21,19346.90,18334.00,19226.55,6749.36401948,129766984.78873318
1606780800,2020-12-01 00:00:00,BTC/USD,19703.53,19918.01,18100.00,18771.43,11799.58943351,221495167.07987264
1606694400,2020-11-30 00:00:00,BTC/USD,18196.75,19864.15,18196.75,19700.19,10612.67092499,209071633.6297787
1606608000,2020-11-29 00:00:00,BTC/USD,17724.41,18352.47,17534.87,18192.03,3736.15917940,67968319.87642018
1606521600,2020-11-28 00:00:00,BTC/USD,17160.38,17896.03,16875.01,17741.79,4471.52202455,79332804.73994096
1606435200,2020-11-27 00:00:00,BTC/USD,17168.31,17471.89,16435.47,17154.39,8964.83242941,153786231.7787466
1606348800,2020-11-26 00:00:00,BTC/USD,18727.24,18911.04,16218.00,17160.09,21424.98655676,367654697.5627917
1606262400,2020-11-25 00:00:00,BTC/USD,19175.13,19490.00,18470.91,18732.43,8962.62225501,167891694.00841695
1606176000,2020-11-24 00:00:00,BTC/USD,18386.92,19442.13,18068.56,19160.85,13262.83116668,254127118.56008047
1606089600,2020-11-23 00:00:00,BTC/USD,18432.60,18786.31,18001.95,18383.35,9412.08722183,173025693.6294285
1606003200,2020-11-22 00:00:00,BTC/USD,18726.43,18770.55,17600.00,18435.20,6417.21771734,118302692.06270637
1605916800,2020-11-21 00:00:00,BTC/USD,18685.08,18977.00,18333.45,18725.00,5937.50536305,111179787.92311125
1605830400,2020-11-20 00:00:00,BTC/USD,17822.37,18824.88,17755.81,18687.65,10020.01351326,187250505.53107327
1605744000,2020-11-19 00:00:00,BTC/USD,17792.96,18189.97,17346.62,17825.47,10506.69646215,187286802.58516097
1605657600,2020-11-18 00:00:00,BTC/USD,17681.77,18483.00,17041.47,17785.95,15717.92072069,279558152.0421563
1605571200,2020-11-17 00:00:00,BTC/USD,16727.85,17868.00,16570.00,17680.63,9824.73852957,173707566.78807124
1605484800,2020-11-16 00:00:00,BTC/USD,15975.49,16894.93,15875.50,16724.62,7511.71484029,125630576.25221093
1605398400,2020-11-15 00:00:00,BTC/USD,16092.80,16170.00,15786.46,15975.49,3225.70533016,51532223.24491777
1605312000,2020-11-14 00:00:00,BTC/USD,16339.06,16341.89,15715.10,16086.34,5046.32670498,81176927.12738797
1605225600,2020-11-13 00:00:00,BTC/USD,16300.00,16494.52,15970.33,16335.58,7843.22421583,128123616.63562822
1605139200,2020-11-12 00:00:00,BTC/USD,15702.00,16369.99,15481.00,16300.00,16261.47118864,265061980.374832
1605052800,2020-11-11 00:00:00,BTC/USD,15314.94,15991.01,15290.85,15707.89,10013.26427187,157287253.72346407
1604966400,2020-11-10 00:00:00,BTC/USD,15349.32,15482.76,15092.47,15313.65,8966.48171393,137309562.69852412
1604880000,2020-11-09 00:00:00,BTC/USD,15484.68,15854.48,14824.66,15332.04,14466.07953692,221794510.10323894
1604793600,2020-11-08 00:00:00,BTC/USD,14829.32,15664.90,14727.19,15489.15,5046.49916395,78165982.52529615
1604707200,2020-11-07 00:00:00,BTC/USD,15603.28,15778.60,14351.00,14838.97,10933.92419186,162248173.0652848
1604620800,2020-11-06 00:00:00,BTC/USD,15608.32,15968.98,15196.01,15598.09,13479.46706771,210253940.47417668
1604534400,2020-11-05 00:00:00,BTC/USD,14168.49,15770.58,14100.00,15605.04,18422.63186045,287485907.0875967
1604448000,2020-11-04 00:00:00,BTC/USD,14041.58,14277.50,13520.87,14160.59,10926.32680544,154723234.0978456
1604361600,2020-11-03 00:00:00,BTC/USD,13578.82,14083.76,13287.70,14041.58,7225.86635614,101462580.5090483
1604275200,2020-11-02 00:00:00,BTC/USD,13762.00,13842.50,13220.00,13563.72,7065.41110933,95833257.9718415
1604188800,2020-11-01 00:00:00,BTC/USD,13799.44,13907.47,13629.31,13762.00,2534.08581497,34874088.98561714
1604102400,2020-10-31 00:00:00,BTC/USD,13569.42,14100.00,13420.97,13816.08,6337.39292768,87557927.68026109
1604016000,2020-10-30 00:00:00,BTC/USD,13456.14,13675.56,13129.26,13562.13,8981.11986042,121803115.09259789
1603929600,2020-10-29 00:00:00,BTC/USD,13275.82,13650.00,12993.00,13468.44,8894.95694501,119801193.9164505
1603843200,2020-10-28 00:00:00,BTC/USD,13642.31,13864.89,12892.00,13274.73,10670.86461819,141652846.67302534
1603756800,2020-10-27 00:00:00,BTC/USD,13065.10,13788.00,13057.09,13647.90,11242.75450774,153439989.24618474
1603670400,2020-10-26 00:00:00,BTC/USD,13041.12,13250.00,12773.50,13066.73,5725.19571956,74809586.66464624
1603584000,2020-10-25 00:00:00,BTC/USD,13115.18,13363.53,12903.74,13039.09,3658.60280875,47704851.29754404
1603497600,2020-10-24 00:00:00,BTC/USD,12940.03,13182.83,12887.38,13122.73,2820.82333324,37016902.97980855
1603411200,2020-10-23 00:00:00,BTC/USD,12983.26,13037.26,12729.82,12941.59,4996.39791976,64661333.35438682
1603324800,2020-10-22 00:00:00,BTC/USD,12802.63,13208.25,12686.73,12983.26,9277.56218571,120453002.0232412
1603238400,2020-10-21 00:00:00,BTC/USD,11921.33,13235.00,11899.10,12802.67,20093.61486293,257251920.19718802
1603152000,2020-10-20 00:00:00,BTC/USD,11759.20,12059.94,11680.00,11921.11,5859.83732437,69855765.32592045
1603065600,2020-10-19 00:00:00,BTC/USD,11518.58,11840.00,11409.94,11764.14,5459.93398846,64231427.831001826
1602979200,2020-10-18 00:00:00,BTC/USD,11363.40,11526.34,11352.79,11519.97,1047.16869132,12063351.908945661
