date,duno,open,max,min,close,vol
2012.08.06,00:00,19986.00,19986.00,19986.00,19986.00,1
2012.08.07,00:00,20024.00,20106.00,19979.00,20032.00,13096
2012.08.08,00:00,20141.00,20206.00,19966.00,20068.00,12888
2012.08.09,00:00,20152.00,20290.00,20132.00,20204.00,13886
2012.08.10,00:00,20184.00,20217.00,20055.00,20171.00,11400
2012.08.13,00:00,20191.00,20197.00,20013.00,20048.00,12458
2012.08.14,00:00,20166.00,20305.00,20088.00,20257.00,14696
2012.08.15,00:00,20099.00,20119.00,19984.00,20054.00,13966
2012.08.16,00:00,20129.00,20157.00,19897.00,19905.00,13414
2012.08.17,00:00,20014.00,20147.00,20001.00,20091.00,12674
2012.08.20,00:00,20074.00,20102.00,19857.00,20060.00,13920
2012.08.21,00:00,20104.00,20137.00,19922.00,20119.00,14326
2012.08.22,00:00,19989.00,19991.00,19832.00,19846.00,13040
2012.08.23,00:00,19970.00,20120.00,19929.00,20111.00,13304
2012.08.24,00:00,19914.00,19914.00,19808.00,19846.00,11464
2012.08.27,00:00,19978.00,19985.00,19739.00,19821.00,14006
2012.08.28,00:00,19720.00,19839.00,19718.00,19790.00,13292
2012.08.29,00:00,19834.00,19843.00,19751.00,19755.00,11454
2012.08.30,00:00,19639.00,19639.00,19440.00,19494.00,12492
2012.08.31,00:00,19469.00,19538.00,19405.00,19449.00,11008
2012.09.03,00:00,19353.00,19616.00,19334.00,19509.00,13262
2012.09.04,00:00,19496.00,19554.00,19384.00,19409.00,11280
2012.09.05,00:00,19312.00,19337.00,19098.00,19148.00,12130
2012.09.06,00:00,19119.00,19226.00,19060.00,19187.00,11912
2012.09.07,00:00,19528.00,19905.00,19460.00,19897.00,14150
2012.09.10,00:00,19939.00,19975.00,19778.00,19817.00,11950
2012.09.11,00:00,19771.00,19907.00,19655.00,19836.00,12640
2012.09.12,00:00,20038.00,20112.00,19990.00,20030.00,12784
2012.09.13,00:00,20028.00,20152.00,20010.00,20014.00,12392
2012.09.14,00:00,20476.00,20643.00,20457.00,20610.00,13424
2012.09.17,00:00,20637.00,20712.00,20596.00,20675.00,11796
2012.09.18,00:00,20640.00,20713.00,20561.00,20590.00,11442
2012.09.19,00:00,20609.00,20890.00,20609.00,20837.00,13334
2012.09.20,00:00,20782.00,20828.00,20546.00,20591.00,12786
2012.09.21,00:00,20693.00,20808.00,20658.00,20675.00,11934
2012.09.24,00:00,20588.00,20765.00,20467.00,20699.00,14328
2012.09.25,00:00,20725.00,20761.00,20644.00,20705.00,11610
2012.09.26,00:00,20479.00,20555.00,20469.00,20505.00,9966
2012.09.27,00:00,20403.00,20855.00,20400.00,20782.00,13194
2012.09.28,00:00,20767.00,20890.00,20659.00,20874.00,13792
2012.10.03,00:00,20851.00,21013.00,20800.00,20894.00,11208
2012.10.04,00:00,20890.00,20943.00,20824.00,20887.00,11730
2012.10.05,00:00,20940.00,21039.00,20898.00,20988.00,10416
2012.10.08,00:00,20996.00,21002.00,20778.00,20791.00,12160
2012.10.09,00:00,20903.00,21105.00,20888.00,20943.00,13478
2012.10.10,00:00,20764.00,20951.00,20708.00,20943.00,11722
2012.10.11,00:00,20756.00,21016.00,20756.00,21000.00,13850
2012.10.12,00:00,20980.00,21257.00,20980.00,21133.00,14326
2012.10.15,00:00,21115.00,21190.00,21076.00,21129.00,12946
2012.10.16,00:00,21241.00,21299.00,21117.00,21223.00,12056
2012.10.17,00:00,21416.00,21449.00,21359.00,21413.00,12346
2012.10.18,00:00,21508.00,21613.00,21481.00,21568.00,12150
2012.10.19,00:00,21530.00,21590.00,21512.00,21586.00,10436
2012.10.22,00:00,21425.00,21715.00,21395.00,21713.00,12090
2012.10.24,00:00,21535.00,21781.00,21533.00,21749.00,13782
2012.10.25,00:00,21759.00,21837.00,21726.00,21824.00,12498
2012.10.26,00:00,21787.00,21826.00,21493.00,21507.00,14186
2012.10.29,00:00,21487.00,21560.00,21401.00,21498.00,11922
2012.10.30,00:00,21502.00,21612.00,21296.00,21436.00,13814
2012.10.31,00:00,21499.00,21650.00,21469.00,21635.00,11332
2012.11.01,00:00,21549.00,21836.00,21443.00,21825.00,13426
2012.11.02,00:00,21997.00,22125.00,21972.00,22068.00,12152
2012.11.05,00:00,22041.00,22131.00,21980.00,22016.00,11590
2012.11.06,00:00,21969.00,22008.00,21829.00,21921.00,12886
2012.11.07,00:00,21972.00,22115.00,21787.00,22085.00,15448
2012.11.08,00:00,21751.00,21839.00,21509.00,21534.00,15386
2012.11.09,00:00,21442.00,21503.00,21307.00,21324.00,14396
2012.11.12,00:00,21350.00,21469.00,21330.00,21411.00,13718
2012.11.13,00:00,21365.00,21393.00,21149.00,21186.00,14066
2012.11.14,00:00,21258.00,21458.00,21212.00,21441.00,12642
2012.11.15,00:00,21203.00,21303.00,21086.00,21167.00,13068
2012.11.16,00:00,21184.00,21215.00,21083.00,21128.00,12626
2012.11.19,00:00,21201.00,21311.00,21121.00,21229.00,13108
2012.11.20,00:00,21441.00,21466.00,21207.00,21265.00,12880
2012.11.21,00:00,21356.00,21548.00,21199.00,21514.00,14958
2012.11.22,00:00,21607.00,21782.00,21525.00,21716.00,13088
2012.11.23,00:00,21763.00,21929.00,21720.00,21895.00,12476
2012.11.26,00:00,22014.00,22014.00,21805.00,21849.00,12580
2012.11.27,00:00,21954.00,21998.00,21797.00,21811.00,13554
2012.11.28,00:00,21718.00,21742.00,21616.00,21718.00,12674
2012.11.29,00:00,21857.00,22027.00,21802.00,21943.00,12882
2012.11.30,00:00,21945.00,22105.00,21903.00,21976.00,12908
2012.12.03,00:00,22031.00,22160.00,21659.00,21677.00,14578
2012.12.04,00:00,21629.00,21842.00,21619.00,21741.00,14984
