time,close
9/15/2011,5.69
9/16/2011,5.23
9/17/2011,5.02
9/18/2011,5.00
9/19/2011,5.60
9/20/2011,6.80
9/21/2011,6.29
9/22/2011,5.83
9/23/2011,5.71
9/24/2011,5.66
9/25/2011,5.50
9/26/2011,5.46
9/27/2011,5.13
9/28/2011,4.99
9/29/2011,4.81
9/30/2011,5.35
10/1/2011,5.30
10/2/2011,5.16
10/3/2011,5.08
10/4/2011,5.03
10/5/2011,5.03
10/6/2011,4.93
10/7/2011,4.85
10/8/2011,4.59
10/9/2011,4.39
10/10/2011,4.26
10/11/2011,4.14
10/12/2011,4.21
10/13/2011,4.45
10/14/2011,4.11
10/15/2011,4.05
10/16/2011,3.90
10/17/2011,3.76
10/18/2011,2.90
10/19/2011,2.65
10/20/2011,2.42
10/21/2011,2.72
10/22/2011,3.30
10/23/2011,3.36
10/24/2011,3.20
10/25/2011,3.04
10/26/2011,2.88
10/27/2011,3.05
10/28/2011,3.26
10/29/2011,3.83
10/30/2011,3.65
10/31/2011,3.39
11/1/2011,3.35
11/2/2011,3.44
11/3/2011,3.30
11/4/2011,3.22
11/5/2011,3.21
11/6/2011,3.05
11/7/2011,3.03
11/8/2011,3.21
11/9/2011,3.11
11/10/2011,3.00
11/11/2011,3.00
11/12/2011,3.11
11/13/2011,3.10
11/14/2011,3.03
11/15/2011,2.69
11/16/2011,2.60
11/17/2011,2.60
11/18/2011,2.39
11/19/2011,2.30
11/20/2011,2.50
11/21/2011,2.29
11/22/2011,2.35
11/23/2011,2.38
11/24/2011,2.46
11/25/2011,2.56
11/26/2011,2.53
11/27/2011,2.50
11/28/2011,2.54
11/29/2011,2.98
11/30/2011,2.96
12/1/2011,3.14
12/2/2011,3.14
12/3/2011,3.13
12/4/2011,2.99
12/5/2011,2.93
12/6/2011,3.05
12/7/2011,3.08
12/8/2011,3.10
12/9/2011,3.04
12/10/2011,3.04
12/11/2011,3.38
12/12/2011,3.34
12/13/2011,3.30
12/14/2011,3.28
12/15/2011,3.19
12/16/2011,3.23
12/17/2011,3.23
12/18/2011,3.25
12/19/2011,3.70
12/20/2011,4.50
12/21/2011,4.11
12/22/2011,3.99
12/23/2011,3.95
12/24/2011,3.95
12/25/2011,4.39
12/26/2011,4.31
12/27/2011,4.06
12/28/2011,4.19
12/29/2011,4.33
12/30/2011,4.30
12/31/2011,5.00
1/1/2012,5.20
1/2/2012,5.50
1/3/2012,5.29
1/4/2012,5.61
1/5/2012,6.40
1/6/2012,7.22
1/7/2012,7.02
1/8/2012,7.20
1/9/2012,7.20
1/10/2012,6.89
1/11/2012,7.14
1/12/2012,7.00
1/13/2012,6.86
1/14/2012,6.75
1/15/2012,6.99
1/16/2012,7.19
1/17/2012,6.98
1/18/2012,6.95
1/19/2012,6.30
1/20/2012,6.58
1/21/2012,6.55
1/22/2012,6.39
1/23/2012,6.45
1/24/2012,6.52
1/25/2012,6.45
1/26/2012,6.20
1/27/2012,5.69
1/28/2012,5.75
1/29/2012,5.76
1/30/2012,5.60
1/31/2012,5.65
2/1/2012,5.64
2/2/2012,6.20
2/3/2012,6.15
2/4/2012,6.00
2/5/2012,5.96
2/6/2012,5.79
2/7/2012,5.71
2/8/2012,5.85
2/9/2012,5.80
2/10/2012,5.93
2/11/2012,6.00
2/12/2012,5.85
2/13/2012,5.72
2/14/2012,5.60
2/15/2012,4.88
2/16/2012,4.73
2/17/2012,4.77
2/18/2012,4.50
2/19/2012,4.33
2/20/2012,4.52
2/21/2012,4.44
2/22/2012,4.54
2/23/2012,4.92
2/24/2012,5.20
2/25/2012,5.07
2/26/2012,5.00
2/27/2012,5.10
2/28/2012,5.00
2/29/2012,4.90
3/1/2012,4.98
3/2/2012,4.99
3/3/2012,4.78
3/4/2012,4.90
3/5/2012,5.04
3/6/2012,5.05
3/7/2012,5.07
3/8/2012,5.00
3/9/2012,4.95
3/10/2012,4.94
3/11/2012,4.99
3/12/2012,4.96
3/13/2012,5.41
3/14/2012,5.44
3/15/2012,5.45
3/16/2012,5.40
3/17/2012,5.40
3/18/2012,5.38
3/19/2012,5.31
3/20/2012,4.98
3/21/2012,4.87
3/22/2012,4.88
3/23/2012,4.83
3/24/2012,4.75
3/25/2012,4.68
3/26/2012,4.74
3/27/2012,4.74
3/28/2012,4.85
3/29/2012,4.86
3/30/2012,4.83
3/31/2012,4.95
4/1/2012,4.93
4/2/2012,5.08
4/3/2012,5.01
4/4/2012,4.97
4/5/2012,4.94
4/6/2012,4.96
4/7/2012,4.98
4/8/2012,4.80
4/9/2012,4.80
4/10/2012,4.90
4/11/2012,4.89
4/12/2012,4.98
4/13/2012,4.94
4/14/2012,5.03
4/15/2012,4.98
4/16/2012,4.98
4/17/2012,5.02
4/18/2012,5.18
4/19/2012,5.19
4/20/2012,5.17
4/21/2012,5.48
4/22/2012,5.33
4/23/2012,5.22
4/24/2012,5.20
4/25/2012,5.16
4/26/2012,5.18
4/27/2012,5.14
4/28/2012,5.12
4/29/2012,5.02
4/30/2012,5.00
5/1/2012,5.00
5/2/2012,5.18
5/3/2012,5.18
5/4/2012,5.15
5/5/2012,5.15
5/6/2012,5.10
5/7/2012,5.09
5/8/2012,5.10
5/9/2012,5.10
5/10/2012,5.13
5/11/2012,5.03
5/12/2012,5.00
5/13/2012,5.00
5/14/2012,5.04
5/15/2012,5.09
5/16/2012,5.09
5/17/2012,5.13
5/18/2012,5.13
5/19/2012,5.14
5/20/2012,5.15
5/21/2012,5.15
5/22/2012,5.12
5/23/2012,5.16
5/24/2012,5.23
5/25/2012,5.15
5/26/2012,5.15
5/27/2012,5.15
5/28/2012,5.16
5/29/2012,5.16
5/30/2012,5.17
5/31/2012,5.19
6/1/2012,5.27
6/2/2012,5.28
6/3/2012,5.26
6/4/2012,5.28
6/5/2012,5.50
6/6/2012,5.47
6/7/2012,5.53
6/8/2012,5.66
6/9/2012,5.70
6/10/2012,5.62
6/11/2012,5.55
6/12/2012,5.70
6/13/2012,5.96
6/14/2012,5.95
