ds,y,y2
2015-10-11,247050003,24705
2015-10-12,245307999,24531
2015-10-13,249507996,24951
2015-10-14,251988998,25199
2015-10-15,254320007,25432
2015-10-16,262868988,26287
2015-10-17,270640015,27064
2015-10-18,261643005,26164
2015-10-19,263437012,26344
2015-10-20,269463013,26946
2015-10-21,266272003,26627
2015-10-22,274023010,27402
2015-10-23,276496002,27650
2015-10-24,281653992,28165
2015-10-25,283679993,28368
2015-10-26,285299988,28530
2015-10-27,293787994,29379
2015-10-28,304618011,30462
2015-10-29,313855011,31386
2015-10-30,328015015,32802
2015-10-31,314165985,31417
2015-11-01,325431000,32543
2015-11-02,361188995,36119
2015-11-03,403416992,40342
2015-11-04,411562988,41156
2015-11-05,386354004,38635
2015-11-06,374470001,37447
2015-11-07,386481995,38648
2015-11-08,373368011,37337
2015-11-09,380256989,38026
2015-11-10,336819000,33682
2015-11-11,311084015,31108
2015-11-12,338152008,33815
2015-11-13,336752991,33675
2015-11-14,332906006,33291
2015-11-15,320165985,32017
2015-11-16,330751007,33075
2015-11-17,335093994,33509
2015-11-18,334589996,33459
2015-11-19,326148987,32615
2015-11-20,322022003,32202
2015-11-21,326927002,32693
2015-11-22,324536011,32454
2015-11-23,323045990,32305
2015-11-24,320045990,32005
2015-11-25,328205994,32821
2015-11-26,352683990,35268
2015-11-27,358041992,35804
2015-11-28,357381012,35738
2015-11-29,371294006,37129
2015-11-30,377321014,37732
2015-12-01,362488007,36249
2015-12-02,359187012,35919
2015-12-03,361045990,36105
2015-12-04,363183014,36318
2015-12-05,388949005,38895
2015-12-06,388782990,38878
2015-12-07,395536011,39554
2015-12-08,415562988,41556
2015-12-09,417562988,41756
2015-12-10,415479004,41548
2015-12-11,451937988,45194
2015-12-12,434997009,43500
2015-12-13,433755005,43376
2015-12-14,444182007,44418
2015-12-15,465321014,46532
2015-12-16,454933990,45493
2015-12-17,456078003,45608
2015-12-18,463615997,46362
2015-12-19,462321991,46232
2015-12-20,442684998,44268
2015-12-21,438639008,43864
2015-12-22,436571991,43657
2015-12-23,442401001,44240
2015-12-24,454984985,45498
2015-12-25,455653015,45565
2015-12-26,417273987,41727
2015-12-27,422822998,42282
2015-12-28,422278992,42228
2015-12-29,432983002,43298
2015-12-30,426619995,42662
2015-12-31,430566986,43057
2016-01-01,434334015,43433
2016-01-02,433437988,43344
2016-01-03,430010986,43001
2016-01-04,433091003,43309
2016-01-05,431959991,43196
2016-01-06,429105011,42911
2016-01-07,458048004,45805
2016-01-08,453230011,45323
2016-01-09,447610992,44761
2016-01-10,447990997,44799
2016-01-11,448428009,44843
2016-01-12,435690002,43569
2016-01-13,432371002,43237
2016-01-14,430306000,43031
2016-01-15,364330994,36433
2016-01-16,387536011,38754
2016-01-17,382299011,38230
2016-01-18,387167999,38717
2016-01-19,380148987,38015
2016-01-20,420230011,42023
2016-01-21,410261993,41026
2016-01-22,382492004,38249
2016-01-23,387490997,38749
2016-01-24,402971008,40297
2016-01-25,391726013,39173
2016-01-26,392153015,39215
2016-01-27,394971985,39497
2016-01-28,380289001,38029
2016-01-29,379473999,37947
2016-01-30,378255005,37826
2016-01-31,368766998,36877
2016-02-01,373056000,37306
2016-02-02,374447998,37445
2016-02-03,369949005,36995
2016-02-04,389593994,38959
2016-02-05,386549011,38655
2016-02-06,376522003,37652
2016-02-07,376619995,37662
2016-02-08,373446991,37345
2016-02-09,376028992,37603
2016-02-10,381648987,38165
2016-02-11,379653992,37965
2016-02-12,384263000,38426
2016-02-13,391859985,39186
2016-02-14,407230011,40723
2016-02-15,400184998,40018
2016-02-16,407488007,40749
2016-02-17,416321991,41632
2016-02-18,422372986,42237
2016-02-19,420785004,42079
2016-02-20,437164001,43716
2016-02-21,438798004,43880
2016-02-22,437747986,43775
2016-02-23,420735992,42074
2016-02-24,424954987,42495
2016-02-25,424544006,42454
2016-02-26,432152008,43215
2016-02-27,432519012,43252
2016-02-28,433503998,43350
2016-02-29,437696991,43770
2016-03-01,435122986,43512
2016-03-02,423989014,42399
